race_id,finish_position,bracket_number,horse_number,horse_name,sex_age,impost,jockey,finish_time,margin,passing,last_3f,odds_win,popularity,horse_weight,horse_weight_change,trainer,owner,prize,horse_id,jockey_id,trainer_id,owner_id
202105010301,1,6,12,スズカビーチ,牝3,51.0,小林脩斗,1:26.6,,1-1,37.4,6.8,5.0,472.0,0.0,[東]伊藤圭三,永井啓弍,510.0,2018101254,1183,1023,382004
202105010301,2,4,8,アイアゲート,牝3,54.0,津村明秀,1:26.9,1.3/4,3-3,37.4,4.7,2.0,494.0,2.0,[東]田中博康,シルクレーシング,200.0,2018105360,1092,1162,506800
202105010301,3,6,11,ボレロ,牝3,54.0,三浦皇成,1:27.2,2,4-4,37.5,5.7,4.0,458.0,-12.0,[東]矢野英一,ターフ・スポート,130.0,2018106407,1122,1108,102800
202105010301,4,3,6,エーアイダンサー,牝3,54.0,丸山元気,1:27.5,1.1/2,2-2,38.2,10.5,6.0,440.0,-6.0,[東]畠山吉宏,岡田壮史,77.0,2018103538,1127,1048,684030
202105010301,5,7,14,エコロマリン,牝3,54.0,横山武史,1:27.6,1/2,11-10,37.3,30.2,7.0,468.0,0.0,[東]菊沢隆徳,原村正紀,51.0,2018105572,1170,1115,783033
202105010301,6,2,4,ビービーラノビア,牝3,54.0,大野拓弥,1:27.6,ハナ,6-6,37.7,54.7,8.0,432.0,6.0,[東]中舘英二,坂東牧場,0.0,2018106841,1096,1153,185800
202105010301,7,8,16,サンランシング,牝3,54.0,北村宏司,1:27.8,1.1/2,8-6,37.9,80.9,11.0,472.0,0.0,[東]新開幸一,加藤ステーブル,0.0,2018100298,1043,1116,59803
202105010301,8,2,3,アデウス,牝3,54.0,丸田恭介,1:27.9,1/2,10-10,37.6,85.7,12.0,448.0,2.0,[東]佐藤吉勝,平本敏夫,0.0,2018103973,1117,1035,832008
202105010301,9,1,1,グルナピーク,牝3,54.0,柴田大知,1:28.2,1.1/2,11-13,37.5,4.8,3.0,438.0,2.0,[東]中川公成,ビッグレッドファーム,0.0,2018102990,1009,1081,716800
202105010301,10,5,10,コトブキアリエス,牝3,51.0,原優介,1:28.5,2,13-13,37.9,76.0,10.0,446.0,26.0,[東]田島俊明,尾上松壽,0.0,2018105700,1184,1112,566006
202105010301,11,7,13,カード,牝3,54.0,江田照男,1:28.8,2,15-12,38.4,3.3,1.0,456.0,0.0,[東]清水英克,井高義光,0.0,2018101437,689,1080,50002
202105010301,12,5,9,ウンジョウノメガミ,牝3,54.0,木幡巧也,1:28.8,ハナ,8-9,38.6,57.9,9.0,456.0,-4.0,[東]伊藤大士,鈴木正浩,0.0,2018100626,1162,1109,317033
202105010301,13,4,7,スクリーニング,牝3,54.0,野中悠太,1:29.1,1.3/4,6-6,39.2,179.7,14.0,450.0,-6.0,[東]小西一男,島田久,0.0,2018102462,1158,405,768033
202105010301,14,8,15,レジーナピアノ,牝3,54.0,杉原誠人,1:29.4,1.3/4,14-13,38.8,258.7,15.0,470.0,-18.0,[東]佐藤吉勝,永山勝敏,0.0,2018105845,1135,1035,695033
202105010301,15,3,5,ミカンタルト,牝3,54.0,伊藤工真,1:29.5,クビ,4-4,39.8,165.2,13.0,440.0,10.0,[東]林徹,保坂和孝,0.0,2018106568,1119,1163,398030
202105010301,16,1,2,シャイニークロレ,牝3,54.0,岩部純二,1:29.5,クビ,16-16,37.9,338.9,16.0,488.0,2.0,[東]浅野洋一,田頭勇貴,0.0,2018104400,726,421,855030
202105010302,1,5,10,ブーケオブアイリス,牡3,56.0,木幡巧也,1:19.0,,6-6,37.0,5.9,2.0,492.0,-4.0,[東]杉浦宏昭,小林善一,510.0,2018104592,1162,1008,880033
202105010302,2,4,8,イルクオーレ,牡3,56.0,石橋脩,1:19.1,1/2,2-2,37.8,8.4,5.0,504.0,-4.0,[東]高橋文雅,ヒダカ・ブリーダーズ・ユニオン,200.0,2018106077,1077,1134,547800
202105010302,3,7,14,レオンベルガー,牡3,56.0,ルメール,1:19.5,2.1/2,6-6,37.4,1.9,1.0,484.0,4.0,[東]鹿戸雄一,村木隆,130.0,2018105136,5339,1097,379008
202105010302,4,5,9,マイブリュージュ,牝3,54.0,戸崎圭太,1:19.8,2,4-4,38.0,46.1,8.0,474.0,0.0,[東]池上昌和,小関昭次,77.0,2018102448,5386,1150,564033
202105010302,5,1,2,ノーマロエア,牝3,54.0,北村宏司,1:20.0,1,10-10,37.1,98.5,10.0,458.0,-2.0,[東]松永康利,リーヴァ,51.0,2018104824,1043,1093,781800
202105010302,6,2,3,シゲルヒラトリ,牡3,56.0,三浦皇成,1:20.2,1.1/2,12-12,36.9,7.8,4.0,476.0,-2.0,[東]水野貴広,森中蕃,0.0,2018102247,1122,1094,674004
202105010302,7,8,16,バルネージュ,セ3,56.0,大野拓弥,1:20.5,1.1/2,4-5,38.6,6.0,3.0,512.0,-2.0,[東]牧光二,手嶋康雄,0.0,2018103832,1096,1106,759030
202105010302,8,1,1,マスケティアーズ,牡3,56.0,杉原誠人,1:20.6,1/2,14-14,36.9,141.5,13.0,470.0,2.0,[東]小桧山悟,加藤徹,0.0,2018100963,1135,1005,36006
202105010302,9,2,4,ジェットセッター,牡3,56.0,Ｍ．デム,1:20.9,1.3/4,8-8,38.4,25.1,6.0,460.0,2.0,[東]加藤士津,野村茂雄,0.0,2018101998,5212,1169,319007
202105010302,10,7,13,ハテンコウ,牡3,56.0,吉田豊,1:21.1,1,8-8,38.6,134.9,11.0,430.0,-2.0,[東]小野次郎,村田哲朗,0.0,2018100365,733,1125,493006
202105010302,11,3,6,ブリリアントパーク,牝3,54.0,江田照男,1:21.1,ハナ,10-11,37.9,29.9,7.0,464.0,0.0,[東]栗田徹,ゴドルフィン,0.0,2018110048,689,1127,3060
202105010302,12,6,12,デュランタ,セ3,56.0,嶋田純次,1:21.1,クビ,16-15,37.3,658.4,16.0,494.0,14.0,[東]的場均,ミルファーム,0.0,2018106594,1134,1063,629800
202105010302,13,4,7,サンファボル,セ3,56.0,柴田大知,1:21.2,3/4,12-12,37.8,95.9,9.0,472.0,0.0,[東]高橋裕,ディアレストクラブ,0.0,2018106179,1009,412,13803
202105010302,14,3,5,ミツカネジュピター,牡3,56.0,内田博幸,1:21.4,1,1-1,40.1,143.5,14.0,498.0,8.0,[東]本間忍,小山田満,0.0,2018103784,422,1056,6803
202105010302,15,6,11,サクセスビリーブ,牝3,54.0,丸田恭介,1:21.4,ハナ,3-3,39.9,136.9,12.0,482.0,-14.0,[東]蛯名利弘,小林章,0.0,2018101860,1117,1131,890002
202105010302,16,8,15,フェスティヴパイカ,牝3,51.0,原優介,1:23.2,大,15-16,39.1,542.5,15.0,448.0,-6.0,[東]根本康広,臼井義太郎,0.0,2018102387,1184,1029,70803
202105010303,1,8,16,オセアダイナスティ,牡3,56.0,ルメール,1:37.4,,2-2,37.3,3.1,2.0,500.0,6.0,[東]加藤征弘,ＩＨＲ,510.0,2018102362,5339,1059,40700
202105010303,2,3,5,ノーリス,牡3,56.0,津村明秀,1:39.0,10,1-1,38.9,2.0,1.0,524.0,0.0,[東]手塚貴久,榊原源一郎,200.0,2018100439,1092,1038,942006
202105010303,3,7,13,トーセンマルコ,牡3,56.0,丸田恭介,1:39.4,2.1/2,9-10,37.9,8.7,4.0,464.0,-2.0,[東]土田稔,島川隆哉,130.0,2018105682,1117,417,270006
202105010303,4,3,6,アポロスマイル,牝3,54.0,横山武史,1:39.5,1/2,3-3,39.0,8.3,3.0,482.0,0.0,[東]岩戸孝樹,アポロサラブレッドクラブ,77.0,2018104389,1170,1051,33700
202105010303,5,1,2,スズノイナズマ,牡3,53.0,原優介,1:39.5,クビ,12-11,37.9,17.2,5.0,470.0,2.0,[東]深山雅史,小紫嘉之,51.0,2018102811,1184,1174,835030
202105010303,6,5,10,アレッサンドロ,牡3,56.0,嘉藤貴行,1:39.9,2.1/2,5-5,39.1,109.6,11.0,456.0,-6.0,[東]高柳瑞樹,ノルマンディーサラブレッドレーシング,0.0,2018103490,1051,1118,854800
202105010303,7,2,3,トドロキゲキジョウ,牡3,56.0,江田照男,1:40.3,2.1/2,3-3,39.8,34.5,8.0,482.0,-6.0,[東]武市康男,ＧＥＴＮＥＸＴ,0.0,2018103857,689,1089,353803
202105010303,8,6,12,エイジ,牡3,56.0,北村宏司,1:40.4,1/2,7-6,39.3,29.1,7.0,496.0,2.0,[東]中舘英二,瀬谷隆雄,0.0,2018103930,1043,1153,775006
