race_id,finish_position,bracket_number,horse_number,horse_name,sex_age,impost,jockey,finish_time,margin,passing,last_3f,odds_win,popularity,horse_weight,horse_weight_change,trainer,owner,prize,horse_id,jockey_id,trainer_id,owner_id
201704030102,1,8,9,ロージズキング,牡2,55.0,木幡初広,1:56.9,,2-2-2-1,38.4,6.4,2.0,504.0,-2.0,[東]牧光二,鈴木芳夫,500.0,2015106260,00629,01106,639009
201704030102,2,5,5,マイネルサリューエ,牡2,55.0,丹内祐次,1:56.9,クビ,4-5-3-2,38.3,1.2,1.0,492.0,10.0,[東]上原博之,サラブレッドクラブ・ラフィアン,200.0,2015100020,01091,00423,546800
201704030102,3,2,2,ベルクカッツェ,牡2,52.0,藤田菜七,1:57.3,2.1/2,9-9-9-8,38.2,18.9,5.0,454.0,4.0,[東]根本康広,田頭勇貴,130.0,2015102620,01164,01029,855030
201704030102,4,3,3,ニコラオス,牡2,54.0,木幡巧也,1:57.4,3/4,4-4-5-5,38.7,57.6,6.0,500.0,0.0,[東]中野栄治,八巻弘一,75.0,2015104000,01162,01010,461008
201704030102,5,7,8,ザリーティー,牝2,54.0,吉田隼人,1:57.5,1/2,6-7-7-6,38.5,9.6,3.0,436.0,-6.0,[西]杉山晴紀,中村智幸,50.0,2015102742,01095,01157,669033
201704030102,6,1,1,クリノヒビキ,牡2,52.0,富田暁,1:57.5,クビ,1-1-1-2,39.1,124.1,8.0,476.0,0.0,[西]湯窪幸雄,栗本博晴,0.0,2015103766,01168,01057,970006
201704030102,7,4,4,コスモグラトナス,牡2,54.0,木幡初也,1:58.4,5,6-6-6-6,39.6,18.9,4.0,446.0,4.0,[東]高橋祥泰,ビッグレッドファーム,0.0,2015100732,01153,00359,716800
201704030102,8,7,7,ロンサムジョージ,牡2,55.0,勝浦正樹,1:59.2,5,8-7-7-8,40.2,173.8,9.0,502.0,8.0,[東]和田正一,スピードファーム,0.0,2015100334,01025,01114,911800
201704030102,9,8,10,コンヴィーヴォ,牝2,54.0,藤懸貴志,1:59.9,4,3-3-3-2,41.3,63.4,7.0,430.0,2.0,[西]羽月友彦,永田和彦,0.0,2015103482,01138,01091,875006
201704030102,10,6,6,オルレアンノムスコ,牡2,55.0,杉原誠人,2:00.1,1.1/4,10-10-10-10,40.4,218.2,10.0,454.0,-6.0,[東]武市康男,ミルファーム,0.0,2015103870,01135,01089,629800
201704030103,1,3,5,トップライセンス,牝4,52.0,藤田菜七,1:11.4,,5-6,37.0,6.0,3.0,488.0,4.0,[東]尾関知人,サンデーレーシング,750.0,2013105841,01164,01103,226800
201704030103,2,7,13,スズカグラーテ,牝3,53.0,菱田裕二,1:11.6,1.1/4,5-4,37.2,2.1,1.0,440.0,0.0,[東]柄崎孝,永井啓弍,300.0,2014104418,01144,00380,382004
201704030103,3,1,1,キョウワヒラリー,牝3,53.0,秋山真一,1:11.6,クビ,3-4,37.3,14.2,6.0,492.0,-4.0,[西]角田晃一,協和牧場,190.0,2014100172,01019,01121,763800
201704030103,4,3,4,エイシンムー,牝3,53.0,川須栄彦,1:11.8,1,8-10,37.1,27.5,9.0,494.0,12.0,[西]中尾秀正,栄進堂,110.0,2014103058,01128,01069,785800
