race_id,finish_position,bracket_number,horse_number,horse_name,sex_age,impost,jockey,finish_time,margin,passing,last_3f,odds_win,popularity,horse_weight,horse_weight_change,trainer,owner,prize,horse_id,jockey_id,trainer_id,owner_id
202406020301,1,7,14,ペイシャニット,牝3,55.0,横山武史,1:12.4,,3-3,38.2,1.2,1.0,468.0,0.0,[東]高橋裕,北所直人,550.0,2021106326,1170,412,163002
202406020301,2,2,3,オオゾラヒバリ,牝3,52.0,長浜鴻緒,1:12.6,1.1/4,4-4,38.3,51.1,8.0,442.0,-2.0,[東]根本康広,福本次雄,220.0,2021101793,1214,1029,468030
202406020301,3,1,1,エリカポラリス,牝3,52.0,小林勝太,1:13.5,5,1-1,39.5,32.5,7.0,436.0,-6.0,[東]伊藤圭三,唐澤絵里加,140.0,2021103739,1205,1023,613031
202406020301,4,8,16,サンマルブーケ,牝3,55.0,武藤雅,1:13.5,ハナ,2-2,39.4,25.2,5.0,482.0,-2.0,[東]中川公成,相馬勇,83.0,2021101120,1169,1081,580007
202406020301,5,5,10,チェルシー,牝3,55.0,吉田豊,1:13.6,クビ,11-10,38.3,14.4,4.0,430.0,0.0,[東]中舘英二,広尾レース,55.0,2021106724,733,1153,553800
202406020301,6,1,2,ゴールデンスイープ,牝3,54.0,永野猛蔵,1:13.7,1/2,4-5,39.4,32.5,6.0,422.0,2.0,[東]黒岩陽一,井内康之,0.0,2021105062,1188,1133,571031
202406020301,7,3,6,チャルドーニ,牝3,55.0,津村明秀,1:13.9,1.1/4,6-5,39.2,8.0,2.0,460.0,-20.0,[東]林徹,ジャコモ,0.0,2021104946,1092,1163,29803
202406020301,8,3,5,ミトロージア,牝3,54.0,原優介,1:14.3,2.1/2,10-7,39.3,284.6,11.0,434.0,-2.0,[東]勢司和浩,鈴木真,0.0,2021100832,1184,1047,44033
202406020301,9,7,13,サノノリッチ,牝3,55.0,キング,1:14.3,ハナ,8-7,39.4,13.6,3.0,408.0,-6.0,[東]中野栄治,佐野信幸,0.0,2021102057,5643,1010,735033
202406020301,10,4,7,ペレストリーナ,牝3,55.0,三浦皇成,1:14.4,クビ,6-7,39.6,62.5,9.0,498.0,2.0,[東]新開幸一,ロードホースクラブ,0.0,2021100129,1122,1116,170800
202406020301,11,8,15,クーペリー,牝3,54.0,横山琉人,1:14.4,ハナ,15-15,38.0,323.6,14.0,446.0,-4.0,[東]高橋裕,ウエスト．フォレスト．ステイブル,0.0,2021101188,1192,412,368803
202406020301,12,2,4,ペイシプリンプリン,牝3,55.0,嶋田純次,1:14.6,1.1/2,16-16,37.6,287.9,13.0,456.0,0.0,[東]伊藤伸一,北所直人,0.0,2021102023,1134,1031,163002
202406020301,13,6,11,チャコールアニー,牝3,53.0,藤田菜七,1:14.7,クビ,12-12,39.2,287.1,12.0,440.0,0.0,[東]高橋文雅,日東牧場,0.0,2021103126,1164,1134,115800
202406020301,14,5,9,プリンセスココア,牝3,55.0,菅原隆一,1:14.9,1,13-13,39.2,474.0,16.0,468.0,-16.0,[東]小手川準,鳴田啓志,0.0,2021106076,1129,1171,382008
202406020301,15,4,8,シアワセノランプ,牝3,51.0,大江原比,1:15.0,1/2,8-10,40.1,219.8,10.0,400.0,2.0,[東]武市康男,石川秀守,0.0,2021102924,1210,1089,18033
202406020301,16,6,12,プリンセスアメリカ,牝3,52.0,石神深道,1:15.4,2.1/2,13-13,39.7,349.9,15.0,458.0,-10.0,[東]中野栄治,内藤好江,0.0,2021101816,1209,1010,663007
202406020302,1,7,14,レゲエビーチ,牡3,57.0,横山和生,1:55.1,,2-2-2-1,39.0,8.0,3.0,522.0,0.0,[東]斎藤誠,林正道,550.0,2021110151,1140,1086,675030
202406020302,2,8,15,ダイオジェナイト,牡3,54.0,小林勝太,1:55.3,1.1/4,3-3-3-3,39.1,3.0,2.0,446.0,4.0,[東]稲垣幸雄,キャロットファーム,220.0,2021105432,1205,1167,486800
202406020302,3,3,5,リュクスレオン,牡3,57.0,三浦皇成,1:55.7,2.1/2,7-6-7-6,38.9,1.8,1.0,472.0,6.0,[東]高柳瑞樹,田畑憲士,140.0,2021103285,1122,1118,215008
202406020302,4,3,6,トーセンジェンマ,牡3,57.0,木幡巧也,1:55.9,1.1/4,6-6-4-4,39.5,56.5,8.0,478.0,4.0,[東]小笠倫弘,島川隆哉,83.0,2021104717,1162,1076,270006
202406020302,5,4,7,アイカムインピース,牡3,57.0,キング,1:56.1,1.1/4,1-1-1-2,40.1,25.1,6.0,520.0,-6.0,[東]堀宣行,ゴドルフィン,55.0,2021110034,5643,1070,3060
202406020302,6,8,16,ジョナ,牡3,56.0,永野猛蔵,1:56.2,1/2,7-8-8-7,39.1,31.0,7.0,494.0,-8.0,[東]伊藤圭三,吉岡寛行,0.0,2021103750,1188,1023,726031
202406020302,7,2,4,ザロック,牡3,54.0,石神深道,1:56.3,1/2,3-3-4-4,39.9,13.9,4.0,498.0,6.0,[東]武井亮,石瀬浩三,0.0,2021106845,1209,1147,812008
202406020302,8,2,3,スプランドゥール,牡3,57.0,柴田大知,1:57.8,9,3-3-4-7,41.4,160.0,10.0,456.0,-16.0,[東]和田雄二,ターフ・スポート,0.0,2021100623,1009,1143,102800
202406020302,9,5,10,フォーゲルヴァイデ,牡3,57.0,内田博幸,1:57.9,1/2,10-9-9-9,40.6,176.6,11.0,482.0,-2.0,[東]深山雅史,ミルファーム,0.0,2021104488,422,1174,629800
