race_id,finish_position,bracket_number,horse_number,horse_name,sex_age,impost,jockey,finish_time,margin,passing,last_3f,odds_win,popularity,horse_weight,horse_weight_change,trainer,owner,prize,horse_id,jockey_id,trainer_id,owner_id
202604010102,1,3,5,ミアルーチェ,牝3,55.0,ゴンサル,1:54.8,,10-8-6-6,39.8,5.0,2.0,476.0,-2.0,[東]加藤士津,鈴木正浩,590.0,2023107408,05675,01169,317033
202604010102,2,3,4,スマートコーラル,牝3,53.0,舟山瑠泉,1:54.8,クビ,2-2-1-1,40.7,24.7,9.0,494.0,4.0,[西]石坂公一,大川徹,240.0,2023106001,01221,01166,007803
202604010102,3,4,6,スマイルガーデン,牝3,55.0,小沢大仁,1:55.8,6,7-7-6-7,40.8,7.2,3.0,482.0,2.0,[西]西村真幸,吉田勝己,150.0,2023107077,01185,01148,790005
202604010102,4,6,11,アーティラリー,牝3,55.0,菊沢一樹,1:56.0,1.1/4,6-5-4-4,41.3,8.9,6.0,480.0,-6.0,[東]松山将樹,石瀬浩三,89.0,2023105452,01161,01100,812008
202604010102,5,4,7,オーケーリアン,牝3,55.0,富田暁,1:56.2,1,3-3-4-4,41.6,7.8,5.0,432.0,4.0,[西]宮地貴稔,小野建,59.0,2023105544,01168,01211,612030
202604010102,6,6,10,マカロンブルー,牝3,55.0,斎藤新,1:56.4,1.1/2,3-3-3-3,41.9,3.0,1.0,446.0,-4.0,[西]佐藤悠太,ヒダカ・ブリーダーズ・ユニオン,0.0,2023104965,01178,01205,547800
202604010102,7,7,12,ブラッドムーン,牝3,53.0,永島まな,1:56.4,アタマ,11-11-8-8,41.0,24.1,8.0,444.0,-4.0,[西]宮本博,岡浩二,0.0,2023102701,01187,01073,370008
202604010102,8,7,13,エンジェルグラース,牝3,55.0,丹内祐次,1:57.3,5,12-13-12-11,41.5,66.0,11.0,430.0,0.0,[西]高橋康之,ターフ・スポート,0.0,2023104979,01091,01135,102800
202604010102,9,1,1,アメジストブリエ,牝3,52.0,和田陽希,1:57.9,4,15-15-14-14,41.3,30.8,10.0,428.0,0.0,[西]武英智,インゼルレーシング,0.0,2023105040,01223,01161,356803
202604010102,10,2,2,ジョーヴェスタ,牝3,53.0,柴田裕一,1:59.1,7,12-12-8-9,43.6,207.9,14.0,424.0,0.0,[西]松下武士,上田江吏子,0.0,2023100287,01212,01149,032031
202604010102,11,5,8,ノクスカンパーナ,牝3,53.0,田山旺佑,1:59.7,4,8-8-12-12,43.9,68.2,12.0,476.0,4.0,[西]吉岡辰弥,ノルマンディーサラブレッドレーシング,0.0,2023105168,01220,01176,854800
202604010102,12,2,3,アトリ,牝3,55.0,石川裕紀,2:00.4,4,1-1-2-2,46.3,7.5,4.0,478.0,4.0,[西]清水久詞,シルクレーシング,0.0,2023106885,01150,01110,506800
202604010102,13,8,15,メジロピオラ,牝3,55.0,吉田隼人,2:00.6,1,8-8-8-10,45.1,18.2,7.0,468.0,-2.0,[東]武井亮,フィールドレーシング,0.0,2023103905,01095,01147,463031
202604010102,14,8,14,ジュニアスウィート,牝3,51.0,河原田菜,2:01.4,5,5-5-11-12,45.8,150.6,13.0,464.0,4.0,[東]小手川準,ビリオンスター,0.0,2023103084,01204,01171,857800
202604010102,15,5,9,トリプルハッピー,牝3,52.0,森田誠也,2:02.2,5,14-14-15-15,44.7,297.5,15.0,410.0,-4.0,[西]森田直行,村島聡乃,0.0,2023106014,01222,01142,065034
202604010103,1,5,8,アンバサダネージュ,牡3,54.0,佐藤翔馬,1:11.9,,2-2,37.9,3.9,2.0,486.0,-12.0,[東]武藤善則,志村幸彦,590.0,2023103216,01207,01064,893030
202604010103,2,3,4,ジュディーイメル,牝3,52.0,小林美駒,1:12.0,1,1-1,38.1,4.8,3.0,438.0,0.0,[西]武英智,ケーエスＨＤ,240.0,2023105116,01206,01161,334803
202604010103,3,2,3,スノーランス,牝3,53.0,舟山瑠泉,1:12.7,4,5-6,38.4,5.5,4.0,464.0,2.0,[東]上原佑紀,堀江貞幸,150.0,2023103693,01221,01192,333008
202604010103,4,4,6,マリブサーフ,牝3,53.0,田山旺佑,1:12.7,クビ,2-2,38.7,2.3,1.0,432.0,-2.0,[西]牧浦充徳,ＹＧＧホースクラブ,89.0,2023100966,01220,01113,188800
202604010103,5,6,10,ジュエルサンライズ,牝3,53.0,古川奈穂,1:12.9,1,9-9,38.3,74.7,9.0,474.0,-2.0,[西]東田明士,松岡隆雄,59.0,2023104826,01190,01209,306008
202604010103,6,5,9,バンダムソレール,牡3,54.0,森田誠也,1:12.9,ハナ,12-12,37.8,36.9,7.0,468.0,2.0,[西]小栗実,山科統,0.0,2023102317,01222,01194,309008
202604010103,7,4,7,ゲレイロ,牡3,54.0,和田陽希,1:13.0,3/4,11-11,38.2,13.3,5.0,466.0,-4.0,[西]今野貞一,山田貢一,0.0,2023104669,01223,01128,440006
202604010103,8,2,2,アリディプラチノ,牝3,52.0,大久保友,1:13.6,3.1/2,5-6,39.3,73.9,8.0,422.0,10.0,[西]畑端省吾,ニケーエス,0.0,2023102063,01194,01188,149803
202604010103,9,8,15,エナジーアユ,牝3,53.0,永島まな,1:13.6,クビ,8-8,39.1,214.5,15.0,440.0,-16.0,[西]荒川義之,北側雅司,0.0,2023105737,01187,01095,936034
202604010103,10,7,13,ヒーナシャム,牝3,55.0,小沢大仁,1:13.9,2,13-13,38.5,177.8,13.0,424.0,6.0,[西]橋口慎介,フィールドレーシング,0.0,2023105333,01185,01154,463031
202604010103,11,1,1,スラッシュコード,牡3,53.0,河原田菜,1:14.2,2,5-4,39.9,120.8,10.0,462.0,-2.0,[東]伊藤圭三,ノルマンディーサラブレッドレーシング,0.0,2023101448,01204,01023,854800
202604010103,12,6,11,リオダプラタ,牡3,54.0,遠藤汰月,1:14.4,3/4,14-14,38.6,183.4,14.0,540.0,0.0,[東]西田雄一,コージーレーシング,0.0,2023102866,01218,01187,182031
202604010103,13,3,5,タイセイガナール,牡3,54.0,水沼元輝,1:14.5,3/4,9-9,39.9,131.8,12.0,472.0,4.0,[東]伊藤圭三,田中成奉,0.0,2023102023,01201,01023,224007
202604010103,14,8,14,トゥントゥントゥン,牡3,54.0,上里直汰,1:16.4,大,4-4,42.2,34.4,6.0,420.0,6.0,[東]手塚貴久,佐久間拓士,0.0,2023104606,01217,01038,986033
202604010103,15,7,12,メイショウアルマ,牡3,57.0,松本大輝,1:19.4,大,15-15,39.9,127.4,11.0,488.0,0.0,[西]飯田祐史,松本好隆,0.0,2023101936,01191,01139,911008
202604010105,1,7,13,アイアムアヒーロー,牡3,57.0,石川裕紀,1:23.6,,15-14,36.2,8.9,3.0,470.0,-2.0,[東]奥平雅士,ワイズマン,590.0,2023102209,01150,01074,139803
