race_id,finish_position,bracket_number,horse_number,horse_name,sex_age,impost,jockey,finish_time,margin,passing,last_3f,odds_win,popularity,horse_weight,horse_weight_change,trainer,owner,prize,horse_id,jockey_id,trainer_id,owner_id
202301010501,1,7,11,バルミーウェザー,牡2,55.0,亀田温心,1:46.5,,8-8-6-5,38.3,4.6,2.0,452.0,0.0,[西]鮫島一歩,ゴドルフィン,550.0,2021101659,1176,1046,3060
202301010501,2,6,9,カリフォルニア,牡2,55.0,ルメール,1:47.4,5,2-2-2-2,40.2,1.9,1.0,470.0,-12.0,[東]伊藤圭三,岡本真二,220.0,2021103728,5339,1023,811033
202301010501,3,6,10,ゼットスパンキー,牡2,55.0,古川吉洋,1:47.5,3/4,6-6-4-3,39.8,180.6,12.0,452.0,0.0,[西]宮徹,フォーレスト,140.0,2021107255,1015,1018,730800
202301010501,4,3,3,リワードファラオン,牡2,55.0,横山典弘,1:47.7,1,1-1-1-1,40.6,15.0,6.0,510.0,4.0,[東]村田一誠,宮崎冴子,83.0,2021103385,660,1190,988002
202301010501,5,3,4,リベルテ,牡2,55.0,横山和生,1:48.6,5,4-3-3-3,41.2,7.2,3.0,462.0,0.0,[東]高木登,ラ・メール,55.0,2021101110,1140,1088,877800
202301010501,6,5,7,ジュンラトゥール,牡2,52.0,今村聖奈,1:48.7,クビ,13-13-12-9,39.2,44.0,7.0,432.0,10.0,[西]浜田多実,河合純二,0.0,2021104039,1193,1138,165033
202301010501,7,7,12,キタノコンドル,牡2,53.0,小林凌大,1:49.0,2,11-11-7-7,40.3,309.7,13.0,466.0,-4.0,[東]萱野浩二,北所直人,0.0,2021101969,1177,1024,163002
202301010501,8,2,2,インペリオ,牡2,55.0,鮫島克駿,1:49.1,クビ,6-7-7-7,40.4,63.4,8.0,468.0,12.0,[西]羽月友彦,ターフ・スポート,0.0,2021102915,1157,1091,102800
202301010501,9,8,14,パーシステンス,牡2,52.0,小林勝太,1:49.8,4,8-9-9-10,41.0,434.8,14.0,492.0,4.0,[東]小桧山悟,柴原榮,0.0,2021107376,1205,1005,238009
202301010501,10,4,6,ドレープサンライズ,牝2,55.0,富田暁,1:49.9,1/2,5-5-4-6,42.3,72.7,10.0,464.0,-12.0,[西]河内洋,松岡隆雄,0.0,2021104449,1168,1072,306008
202301010501,11,1,1,デルマアートマン,牡2,55.0,横山武史,1:50.0,1/2,13-14-14-14,38.9,12.4,4.0,474.0,2.0,[西]友道康夫,浅沼廣幸,0.0,2021104992,1170,1061,274002
202301010501,12,4,5,マコトヴィエルジ,牝2,54.0,角田大和,1:50.2,1.1/4,11-11-12-11,40.8,65.0,9.0,440.0,2.0,[東]上原佑紀,ディアマント,0.0,2021105783,1186,1192,864800
202301010501,13,5,8,リエンダ,牡2,55.0,丹内祐次,1:50.8,3.1/2,10-9-10-11,41.7,123.8,11.0,472.0,8.0,[東]岩戸孝樹,岡田隆寛,0.0,2021103465,1091,1051,55030
202301010501,14,8,13,ヤプシ,牡2,53.0,佐々木大,1:52.6,大,3-3-10-13,43.4,12.9,5.0,466.0,-4.0,[東]加藤士津,ＣＨＥＶＡＬＡＴＴＡＣＨＥ,0.0,2021100822,1197,1169,888800
