race_id,data_kubun,made_date,keibajo_code,race_num,happyo_datetime,toroku_tosu,syusso_tosu,hatsubai_flag,hyosu_total,kumiban,odds_wakuren,ninkijun,rt_key,acquired_at,venue_code,race_number,post_datetime,snapshot_label,target_datetime
202606040505,1,2026-09-19,6,5,2026-09-19 12:19:00,12,12,7,67822,67,28.2,10,202609190605,2026-09-19T12:20:02,6,5,2026-09-19T12:25:00,5m,2026-09-19T12:20:00
202606040505,1,2026-09-19,6,5,2026-09-19 12:19:00,12,12,7,67822,68,79.0,19,202609190605,2026-09-19T12:20:02,6,5,2026-09-19T12:25:00,5m,2026-09-19T12:20:00
202606040505,1,2026-09-19,6,5,2026-09-19 12:19:00,12,12,7,67822,77,44.6,13,202609190605,2026-09-19T12:20:02,6,5,2026-09-19T12:25:00,5m,2026-09-19T12:20:00
202606040505,1,2026-09-19,6,5,2026-09-19 12:19:00,12,12,7,67822,78,48.8,14,202609190605,2026-09-19T12:20:02,6,5,2026-09-19T12:25:00,5m,2026-09-19T12:20:00
202606040505,1,2026-09-19,6,5,2026-09-19 12:19:00,12,12,7,67822,88,495.8,32,202609190605,2026-09-19T12:20:02,6,5,2026-09-19T12:25:00,5m,2026-09-19T12:20:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,12,281.8,28,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,13,104.2,21,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,14,291.9,29,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,15,324.3,31,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,16,65.8,17,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,17,207.4,25,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
202609040506,1,2026-09-19,9,6,2026-09-19 12:34:00,11,11,7,52739,18,45.0,14,202609190906,2026-09-19T12:35:02,9,6,2026-09-19T12:40:00,5m,2026-09-19T12:35:00
