date,time,post_datetime,race_id,rt_key,venue_code,kai,day,race_number,race_name,access_d_cname,shutuba_url
2026-09-20,09:45,2026-09-20T09:45,202609040601,202609200901,09,04,06,1,検索ウィンドウ,pw01dde0109202604060120260920/62,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060120260920%2F62
2026-09-20,10:00,2026-09-20T10:00,202606040601,202609200601,06,04,06,1,検索ウィンドウ,pw01dde0106202604060120260920/84,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060120260920%2F84
2026-09-20,10:20,2026-09-20T10:20,202609040602,202609200902,09,04,06,2,検索ウィンドウ,pw01dde0109202604060220260920/17,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060220260920%2F17
2026-09-20,10:35,2026-09-20T10:35,202606040602,202609200602,06,04,06,2,検索ウィンドウ,pw01dde0106202604060220260920/39,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060220260920%2F39
2026-09-20,10:50,2026-09-20T10:50,202609040603,202609200903,09,04,06,3,検索ウィンドウ,pw01dde0109202604060320260920/CC,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060320260920%2FCC
2026-09-20,11:05,2026-09-20T11:05,202606040603,202609200603,06,04,06,3,検索ウィンドウ,pw01dde0106202604060320260920/EE,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060320260920%2FEE
2026-09-20,11:20,2026-09-20T11:20,202609040604,202609200904,09,04,06,4,検索ウィンドウ,pw01dde0109202604060420260920/81,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060420260920%2F81
2026-09-20,11:35,2026-09-20T11:35,202606040604,202609200604,06,04,06,4,検索ウィンドウ,pw01dde0106202604060420260920/A3,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060420260920%2FA3
2026-09-20,12:10,2026-09-20T12:10,202609040605,202609200905,09,04,06,5,検索ウィンドウ,pw01dde0109202604060520260920/36,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060520260920%2F36
2026-09-20,12:25,2026-09-20T12:25,202606040605,202609200605,06,04,06,5,検索ウィンドウ,pw01dde0106202604060520260920/58,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060520260920%2F58
2026-09-20,12:40,2026-09-20T12:40,202609040606,202609200906,09,04,06,6,検索ウィンドウ,pw01dde0109202604060620260920/EB,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060620260920%2FEB
2026-09-20,12:55,2026-09-20T12:55,202606040606,202609200606,06,04,06,6,検索ウィンドウ,pw01dde0106202604060620260920/0D,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060620260920%2F0D
2026-09-20,13:10,2026-09-20T13:10,202609040607,202609200907,09,04,06,7,検索ウィンドウ,pw01dde0109202604060720260920/A0,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060720260920%2FA0
2026-09-20,13:25,2026-09-20T13:25,202606040607,202609200607,06,04,06,7,検索ウィンドウ,pw01dde0106202604060720260920/C2,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060720260920%2FC2
2026-09-20,13:40,2026-09-20T13:40,202609040608,202609200908,09,04,06,8,検索ウィンドウ,pw01dde0109202604060820260920/55,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060820260920%2F55
2026-09-20,13:55,2026-09-20T13:55,202606040608,202609200608,06,04,06,8,検索ウィンドウ,pw01dde0106202604060820260920/77,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060820260920%2F77
2026-09-20,14:10,2026-09-20T14:10,202609040609,202609200909,09,04,06,9,検索ウィンドウ,pw01dde0109202604060920260920/0A,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604060920260920%2F0A
2026-09-20,14:25,2026-09-20T14:25,202606040609,202609200609,06,04,06,9,検索ウィンドウ,pw01dde0106202604060920260920/2C,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604060920260920%2F2C
2026-09-20,14:50,2026-09-20T14:50,202609040610,202609200910,09,04,06,10,検索ウィンドウ,pw01dde0109202604061020260920/FF,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604061020260920%2FFF
2026-09-20,15:05,2026-09-20T15:05,202606040610,202609200610,06,04,06,10,検索ウィンドウ,pw01dde0106202604061020260920/21,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604061020260920%2F21
2026-09-20,15:30,2026-09-20T15:30,202609040611,202609200911,09,04,06,11,検索ウィンドウ,pw01dde0109202604061120260920/B4,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604061120260920%2FB4
2026-09-20,15:45,2026-09-20T15:45,202606040611,202609200611,06,04,06,11,検索ウィンドウ,pw01dde0106202604061120260920/D6,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604061120260920%2FD6
2026-09-20,16:10,2026-09-20T16:10,202609040612,202609200912,09,04,06,12,検索ウィンドウ,pw01dde0109202604061220260920/69,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604061220260920%2F69
2026-09-20,16:30,2026-09-20T16:30,202606040612,202609200612,06,04,06,12,検索ウィンドウ,pw01dde0106202604061220260920/8B,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604061220260920%2F8B
