race_id,rt_key,date,post_datetime,umaban,odds_win_60m,hyosu_total_60m,happyo_datetime_60m,odds_win_30m,hyosu_total_30m,happyo_datetime_30m,odds_win_10m,hyosu_total_10m,happyo_datetime_10m,odds_win_5m,hyosu_total_5m,happyo_datetime_5m,odds_win_3m,hyosu_total_3m,happyo_datetime_3m,odds_win_1m,hyosu_total_1m,happyo_datetime_1m
202102010101,202107030201,2021-07-03,09:50:00,01,5.2,549430,08:50:00,5.5,710810,09:17:00,5.5,1306840,09:39:00,5.8,1861710,09:45:00,5.8,1861710,09:45:00,5.8,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,02,17.7,549430,08:50:00,18.8,710810,09:17:00,20.1,1306840,09:39:00,22.3,1861710,09:45:00,22.3,1861710,09:45:00,22.3,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,03,9.9,549430,08:50:00,10.7,710810,09:17:00,12.0,1306840,09:39:00,12.9,1861710,09:45:00,12.9,1861710,09:45:00,12.9,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,04,1.8,549430,08:50:00,1.7,710810,09:17:00,1.5,1306840,09:39:00,1.4,1861710,09:45:00,1.4,1861710,09:45:00,1.4,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,05,6.1,549430,08:50:00,6.0,710810,09:17:00,6.1,1306840,09:39:00,6.2,1861710,09:45:00,6.2,1861710,09:45:00,6.2,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,06,30.8,549430,08:50:00,31.3,710810,09:17:00,37.1,1306840,09:39:00,41.6,1861710,09:45:00,41.6,1861710,09:45:00,41.6,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,07,78.4,549430,08:50:00,82.3,710810,09:17:00,92.4,1306840,09:39:00,104.0,1861710,09:45:00,104.0,1861710,09:45:00,104.0,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,08,52.1,549430,08:50:00,53.3,710810,09:17:00,65.7,1306840,09:39:00,81.3,1861710,09:45:00,81.3,1861710,09:45:00,81.3,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,09,24.8,549430,08:50:00,26.1,710810,09:17:00,24.5,1306840,09:39:00,25.8,1861710,09:45:00,25.8,1861710,09:45:00,25.8,1861710,09:45:00
202102010101,202107030201,2021-07-03,09:50:00,10,72.6,549430,08:50:00,82.2,710810,09:17:00,102.0,1306840,09:39:00,104.1,1861710,09:45:00,104.1,1861710,09:45:00,104.1,1861710,09:45:00
202102010102,202107030202,2021-07-03,10:25:00,01,40.9,376160,09:21:00,42.3,540170,09:54:00,25.6,1072510,10:14:00,27.1,1907150,10:20:00,27.1,1907150,10:20:00,27.1,1907150,10:20:00
202102010102,202107030202,2021-07-03,10:25:00,02,20.4,376160,09:21:00,16.7,540170,09:54:00,13.5,1072510,10:14:00,13.6,1907150,10:20:00,13.6,1907150,10:20:00,13.6,1907150,10:20:00
