race_id,rt_key,date,post_datetime,umaban,odds_win_60m,hyosu_total_60m,happyo_datetime_60m,odds_win_30m,hyosu_total_30m,happyo_datetime_30m,odds_win_10m,hyosu_total_10m,happyo_datetime_10m,odds_win_5m,hyosu_total_5m,happyo_datetime_5m,odds_win_3m,hyosu_total_3m,happyo_datetime_3m,odds_win_1m,hyosu_total_1m,happyo_datetime_1m
201903030102,201911020302,2019-11-02,10:20:00,10,11.3,161500.0,09:20:00,13.1,266750,09:49:00,17.2,473560,10:09:00,19.2,788230,10:15:00,19.2,788230,10:15:00,19.2,788230,10:15:00
201903030102,201911020302,2019-11-02,10:20:00,11,115.2,161500.0,09:20:00,134.0,266750,09:49:00,173.4,473560,10:09:00,207.4,788230,10:15:00,207.4,788230,10:15:00,207.4,788230,10:15:00
201903030102,201911020302,2019-11-02,10:20:00,12,165.3,161500.0,09:20:00,167.8,266750,09:49:00,201.2,473560,10:09:00,239.2,788230,10:15:00,239.2,788230,10:15:00,239.2,788230,10:15:00
201903030102,201911020302,2019-11-02,10:20:00,13,9.5,161500.0,09:20:00,9.1,266750,09:49:00,7.8,473560,10:09:00,8.2,788230,10:15:00,8.2,788230,10:15:00,8.2,788230,10:15:00
201903030102,201911020302,2019-11-02,10:20:00,14,4.2,161500.0,09:20:00,4.2,266750,09:49:00,3.5,473560,10:09:00,2.9,788230,10:15:00,2.9,788230,10:15:00,2.9,788230,10:15:00
201903030102,201911020302,2019-11-02,10:20:00,15,100.1,161500.0,09:20:00,50.4,266750,09:49:00,62.4,473560,10:09:00,89.3,788230,10:15:00,89.3,788230,10:15:00,89.3,788230,10:15:00
201903030103,201911020303,2019-11-02,10:50:00,01,15.4,150030.0,09:42:00,16.1,197630,10:19:00,21.3,435900,10:39:00,18.5,648780,10:45:00,18.5,648780,10:45:00,18.5,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,02,8.8,150030.0,09:42:00,9.7,197630,10:19:00,9.8,435900,10:39:00,10.5,648780,10:45:00,10.5,648780,10:45:00,10.5,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,03,7.0,150030.0,09:42:00,6.7,197630,10:19:00,6.4,435900,10:39:00,6.3,648780,10:45:00,6.3,648780,10:45:00,6.3,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,04,7.1,150030.0,09:42:00,7.9,197630,10:19:00,8.3,435900,10:39:00,9.4,648780,10:45:00,9.4,648780,10:45:00,9.4,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,05,33.9,150030.0,09:42:00,36.7,197630,10:19:00,50.5,435900,10:39:00,42.6,648780,10:45:00,42.6,648780,10:45:00,42.6,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,06,3.6,150030.0,09:42:00,3.3,197630,10:19:00,3.0,435900,10:39:00,2.8,648780,10:45:00,2.8,648780,10:45:00,2.8,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,07,6.1,150030.0,09:42:00,5.7,197630,10:19:00,6.7,435900,10:39:00,6.9,648780,10:45:00,6.9,648780,10:45:00,6.9,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,08,8.5,150030.0,09:42:00,9.3,197630,10:19:00,11.8,435900,10:39:00,14.1,648780,10:45:00,14.1,648780,10:45:00,14.1,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,09,9.8,150030.0,09:42:00,8.8,197630,10:19:00,6.9,435900,10:39:00,7.0,648780,10:45:00,7.0,648780,10:45:00,7.0,648780,10:45:00
201903030103,201911020303,2019-11-02,10:50:00,10,9.4,150030.0,09:42:00,10.5,197630,10:19:00,9.8,435900,10:39:00,9.6,648780,10:45:00,9.6,648780,10:45:00,9.6,648780,10:45:00
201903030106,201911020306,2019-11-02,12:45:00,01,30.9,249650.0,11:41:00,36.4,334960,12:12:00,42.9,605690,12:34:00,57.0,1257080,12:39:00,57.0,1257080,12:39:00,57.0,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,02,14.5,249650.0,11:41:00,13.6,334960,12:12:00,14.2,605690,12:34:00,16.7,1257080,12:39:00,16.7,1257080,12:39:00,16.7,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,03,44.4,249650.0,11:41:00,30.8,334960,12:12:00,35.5,605690,12:34:00,45.0,1257080,12:39:00,45.0,1257080,12:39:00,45.0,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,04,4.5,249650.0,11:41:00,4.9,334960,12:12:00,5.1,605690,12:34:00,6.9,1257080,12:39:00,6.9,1257080,12:39:00,6.9,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,05,7.5,249650.0,11:41:00,7.9,334960,12:12:00,7.2,605690,12:34:00,7.2,1257080,12:39:00,7.2,1257080,12:39:00,7.2,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,06,17.3,249650.0,11:41:00,15.5,334960,12:12:00,13.3,605690,12:34:00,11.9,1257080,12:39:00,11.9,1257080,12:39:00,11.9,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,07,6.4,249650.0,11:41:00,7.7,334960,12:12:00,9.8,605690,12:34:00,13.8,1257080,12:39:00,13.8,1257080,12:39:00,13.8,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,08,7.7,249650.0,11:41:00,8.3,334960,12:12:00,12.4,605690,12:34:00,20.6,1257080,12:39:00,20.6,1257080,12:39:00,20.6,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,09,20.8,249650.0,11:41:00,20.8,334960,12:12:00,25.0,605690,12:34:00,42.3,1257080,12:39:00,42.3,1257080,12:39:00,42.3,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,10,51.3,249650.0,11:41:00,61.4,334960,12:12:00,80.8,605690,12:34:00,137.9,1257080,12:39:00,137.9,1257080,12:39:00,137.9,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,11,4.9,249650.0,11:41:00,4.2,334960,12:12:00,3.7,605690,12:34:00,3.2,1257080,12:39:00,3.2,1257080,12:39:00,3.2,1257080,12:39:00
201903030106,201911020306,2019-11-02,12:45:00,12,6.2,249650.0,11:41:00,5.6,334960,12:12:00,4.6,605690,12:34:00,3.0,1257080,12:39:00,3.0,1257080,12:39:00,3.0,1257080,12:39:00
201903030107,201911020307,2019-11-02,13:15:00,01,11.8,264600.0,12:14:00,12.8,322990,12:41:00,15.6,619760,13:04:00,20.5,1094960,13:10:00,20.5,1094960,13:10:00,20.5,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,02,9.3,264600.0,12:14:00,10.2,322990,12:41:00,12.7,619760,13:04:00,12.4,1094960,13:10:00,12.4,1094960,13:10:00,12.4,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,03,55.1,264600.0,12:14:00,56.0,322990,12:41:00,73.2,619760,13:04:00,95.3,1094960,13:10:00,95.3,1094960,13:10:00,95.3,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,04,3.7,264600.0,12:14:00,3.6,322990,12:41:00,2.8,619760,13:04:00,2.3,1094960,13:10:00,2.3,1094960,13:10:00,2.3,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,05,8.9,264600.0,12:14:00,9.5,322990,12:41:00,10.5,619760,13:04:00,11.7,1094960,13:10:00,11.7,1094960,13:10:00,11.7,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,06,16.0,264600.0,12:14:00,16.5,322990,12:41:00,19.7,619760,13:04:00,20.7,1094960,13:10:00,20.7,1094960,13:10:00,20.7,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,07,55.5,264600.0,12:14:00,58.7,322990,12:41:00,72.3,619760,13:04:00,109.7,1094960,13:10:00,109.7,1094960,13:10:00,109.7,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,08,9.5,264600.0,12:14:00,8.3,322990,12:41:00,7.9,619760,13:04:00,8.8,1094960,13:10:00,8.8,1094960,13:10:00,8.8,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,09,34.3,264600.0,12:14:00,35.4,322990,12:41:00,38.6,619760,13:04:00,51.7,1094960,13:10:00,51.7,1094960,13:10:00,51.7,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,10,62.0,264600.0,12:14:00,67.9,322990,12:41:00,91.1,619760,13:04:00,145.2,1094960,13:10:00,145.2,1094960,13:10:00,145.2,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,11,7.0,264600.0,12:14:00,7.1,322990,12:41:00,6.0,619760,13:04:00,5.4,1094960,13:10:00,5.4,1094960,13:10:00,5.4,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,12,20.5,264600.0,12:14:00,16.3,322990,12:41:00,13.4,619760,13:04:00,13.0,1094960,13:10:00,13.0,1094960,13:10:00,13.0,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,13,5.8,264600.0,12:14:00,5.9,322990,12:41:00,7.8,619760,13:04:00,10.1,1094960,13:10:00,10.1,1094960,13:10:00,10.1,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,14,41.5,264600.0,12:14:00,42.0,322990,12:41:00,50.1,619760,13:04:00,58.7,1094960,13:10:00,58.7,1094960,13:10:00,58.7,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,15,38.7,264600.0,12:14:00,37.2,322990,12:41:00,40.6,619760,13:04:00,46.4,1094960,13:10:00,46.4,1094960,13:10:00,46.4,1094960,13:10:00
201903030107,201911020307,2019-11-02,13:15:00,16,50.1,264600.0,12:14:00,59.4,322990,12:41:00,75.5,619760,13:04:00,95.2,1094960,13:10:00,95.2,1094960,13:10:00,95.2,1094960,13:10:00
201903030108,201911020308,2019-11-02,13:45:00,01,5.8,156550.0,12:41:00,6.6,196860,13:14:00,7.3,433150,13:34:00,7.5,698820,13:40:00,7.5,698820,13:40:00,7.5,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,02,7.8,156550.0,12:41:00,8.2,196860,13:14:00,6.9,433150,13:34:00,6.3,698820,13:40:00,6.3,698820,13:40:00,6.3,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,03,39.2,156550.0,12:41:00,38.6,196860,13:14:00,56.5,433150,13:34:00,49.0,698820,13:40:00,49.0,698820,13:40:00,49.0,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,04,8.5,156550.0,12:41:00,8.3,196860,13:14:00,10.0,433150,13:34:00,11.4,698820,13:40:00,11.4,698820,13:40:00,11.4,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,05,34.7,156550.0,12:41:00,39.9,196860,13:14:00,65.3,433150,13:34:00,72.9,698820,13:40:00,72.9,698820,13:40:00,72.9,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,06,3.3,156550.0,12:41:00,3.3,196860,13:14:00,2.7,433150,13:34:00,2.6,698820,13:40:00,2.6,698820,13:40:00,2.6,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,07,41.6,156550.0,12:41:00,43.3,196860,13:14:00,40.1,433150,13:34:00,52.8,698820,13:40:00,52.8,698820,13:40:00,52.8,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,08,8.7,156550.0,12:41:00,9.3,196860,13:14:00,10.9,433150,13:34:00,11.9,698820,13:40:00,11.9,698820,13:40:00,11.9,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,09,51.5,156550.0,12:41:00,56.4,196860,13:14:00,80.2,433150,13:34:00,99.6,698820,13:40:00,99.6,698820,13:40:00,99.6,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,10,29.8,156550.0,12:41:00,23.1,196860,13:14:00,26.4,433150,13:34:00,21.9,698820,13:40:00,21.9,698820,13:40:00,21.9,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,11,7.2,156550.0,12:41:00,6.4,196860,13:14:00,6.3,433150,13:34:00,6.3,698820,13:40:00,6.3,698820,13:40:00,6.3,698820,13:40:00
201903030108,201911020308,2019-11-02,13:45:00,12,6.4,156550.0,12:41:00,6.2,196860,13:14:00,6.7,433150,13:34:00,6.5,698820,13:40:00,6.5,698820,13:40:00,6.5,698820,13:40:00
201903030109,201911020309,2019-11-02,14:15:00,01,13.4,215480.0,13:11:00,13.7,272660,13:45:00,12.2,473740,14:04:00,10.5,703170,14:10:00,10.5,703170,14:10:00,10.5,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,02,38.3,215480.0,13:11:00,39.0,272660,13:45:00,54.0,473740,14:04:00,66.2,703170,14:10:00,66.2,703170,14:10:00,66.2,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,03,42.9,215480.0,13:11:00,39.7,272660,13:45:00,50.3,473740,14:04:00,52.2,703170,14:10:00,52.2,703170,14:10:00,52.2,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,04,56.7,215480.0,13:11:00,51.0,272660,13:45:00,59.4,473740,14:04:00,68.3,703170,14:10:00,68.3,703170,14:10:00,68.3,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,05,53.0,215480.0,13:11:00,50.3,272660,13:45:00,63.4,473740,14:04:00,72.5,703170,14:10:00,72.5,703170,14:10:00,72.5,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,06,12.1,215480.0,13:11:00,10.4,272660,13:45:00,12.4,473740,14:04:00,14.1,703170,14:10:00,14.1,703170,14:10:00,14.1,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,07,13.9,215480.0,13:11:00,14.7,272660,13:45:00,14.7,473740,14:04:00,15.4,703170,14:10:00,15.4,703170,14:10:00,15.4,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,08,59.2,215480.0,13:11:00,67.9,272660,13:45:00,82.0,473740,14:04:00,99.5,703170,14:10:00,99.5,703170,14:10:00,99.5,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,09,4.0,215480.0,13:11:00,4.2,272660,13:45:00,3.4,473740,14:04:00,2.9,703170,14:10:00,2.9,703170,14:10:00,2.9,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,10,37.3,215480.0,13:11:00,36.4,272660,13:45:00,38.0,473740,14:04:00,46.9,703170,14:10:00,46.9,703170,14:10:00,46.9,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,11,4.3,215480.0,13:11:00,4.2,272660,13:45:00,3.4,473740,14:04:00,3.7,703170,14:10:00,3.7,703170,14:10:00,3.7,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,12,84.9,215480.0,13:11:00,90.8,272660,13:45:00,80.4,473740,14:04:00,95.0,703170,14:10:00,95.0,703170,14:10:00,95.0,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,13,5.8,215480.0,13:11:00,5.6,272660,13:45:00,6.1,473740,14:04:00,5.6,703170,14:10:00,5.6,703170,14:10:00,5.6,703170,14:10:00
201903030109,201911020309,2019-11-02,14:15:00,14,4.2,215480.0,13:11:00,4.5,272660,13:45:00,6.3,473740,14:04:00,8.0,703170,14:10:00,8.0,703170,14:10:00,8.0,703170,14:10:00
201903030110,201911020310,2019-11-02,14:50:00,01,8.3,306210.0,13:49:00,8.3,383380,14:17:00,8.6,720020,14:39:00,8.6,1391520,14:45:00,8.6,1391520,14:45:00,8.6,1391520,14:45:00
201903030110,201911020310,2019-11-02,14:50:00,02,8.3,306210.0,13:49:00,6.3,383380,14:17:00,8.6,720020,14:39:00,11.2,1391520,14:45:00,11.2,1391520,14:45:00,11.2,1391520,14:45:00
201903030110,201911020310,2019-11-02,14:50:00,03,22.6,306210.0,13:49:00,23.2,383380,14:17:00,25.4,720020,14:39:00,31.2,1391520,14:45:00,31.2,1391520,14:45:00,31.2,1391520,14:45:00
201903030110,201911020310,2019-11-02,14:50:00,04,3.0,306210.0,13:49:00,3.1,383380,14:17:00,3.1,720020,14:39:00,2.6,1391520,14:45:00,2.6,1391520,14:45:00,2.6,1391520,14:45:00
201903030110,201911020310,2019-11-02,14:50:00,05,13.4,306210.0,13:49:00,14.2,383380,14:17:00,15.0,720020,14:39:00,14.5,1391520,14:45:00,14.5,1391520,14:45:00,14.5,1391520,14:45:00
201903030110,201911020310,2019-11-02,14:50:00,06,77.2,306210.0,13:49:00,77.4,383380,14:17:00,97.9,720020,14:39:00,137.9,1391520,14:45:00,137.9,1391520,14:45:00,137.9,1391520,14:45:00
