race_id,rt_key,date,post_datetime,kumiban,odds_wakuren_60m,hyosu_total_60m,happyo_datetime_60m,odds_wakuren_30m,hyosu_total_30m,happyo_datetime_30m,odds_wakuren_10m,hyosu_total_10m,happyo_datetime_10m,odds_wakuren_5m,hyosu_total_5m,happyo_datetime_5m,odds_wakuren_3m,hyosu_total_3m,happyo_datetime_3m,odds_wakuren_1m,hyosu_total_1m,happyo_datetime_1m
202605010201,202602010501,2026-02-01,10:05:00,57,4.9,,09:05:00,4.7,,09:32:00,4.2,,09:54:00,4.2,,09:59:00,4.2,,09:59:00,2.6,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,58,10.2,,09:05:00,9.7,,09:32:00,9.5,,09:54:00,9.5,,09:59:00,9.5,,09:59:00,9.2,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,66,358.6,,09:05:00,321.3,,09:32:00,324.0,,09:54:00,211.0,,09:59:00,211.0,,09:59:00,287.7,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,67,34.2,,09:05:00,31.0,,09:32:00,29.0,,09:54:00,26.4,,09:59:00,26.4,,09:59:00,31.4,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,68,24.3,,09:05:00,30.1,,09:32:00,40.5,,09:54:00,38.7,,09:59:00,38.7,,09:59:00,52.8,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,77,179.3,,09:05:00,204.1,,09:32:00,94.8,,09:54:00,95.3,,09:59:00,95.3,,09:59:00,130.2,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,78,12.2,,09:05:00,13.3,,09:32:00,15.1,,09:54:00,15.7,,09:59:00,15.7,,09:59:00,18.2,,10:04:00
202605010201,202602010501,2026-02-01,10:05:00,88,347.2,,09:05:00,377.4,,09:32:00,406.2,,09:54:00,444.3,,09:59:00,444.3,,09:59:00,606.2,,10:04:00
202605010202,202602010502,2026-02-01,10:35:00,12,54.0,,09:34:00,60.6,,10:04:00,119.1,,10:24:00,155.3,,10:29:00,155.3,,10:29:00,313.4,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,13,75.7,,09:34:00,86.9,,10:04:00,160.8,,10:24:00,206.0,,10:29:00,206.0,,10:29:00,376.5,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,14,95.8,,09:34:00,92.5,,10:04:00,103.6,,10:24:00,121.8,,10:29:00,121.8,,10:29:00,186.9,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,15,130.6,,09:34:00,138.4,,10:04:00,160.8,,10:24:00,178.5,,10:29:00,178.5,,10:29:00,289.9,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,16,38.3,,09:34:00,34.3,,10:04:00,41.7,,10:24:00,44.0,,10:29:00,44.0,,10:29:00,58.5,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,17,172.2,,09:34:00,179.8,,10:04:00,275.8,,10:24:00,317.9,,10:29:00,317.9,,10:29:00,520.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,18,204.9,,09:34:00,200.5,,10:04:00,259.9,,10:24:00,294.5,,10:29:00,294.5,,10:29:00,503.2,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,23,150.4,,09:34:00,143.5,,10:04:00,218.6,,10:24:00,258.1,,10:29:00,258.1,,10:29:00,430.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,24,102.4,,09:34:00,94.8,,10:04:00,96.1,,10:24:00,101.0,,10:29:00,101.0,,10:29:00,162.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,25,135.0,,09:34:00,120.3,,10:04:00,151.3,,10:24:00,157.9,,10:29:00,157.9,,10:29:00,249.8,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,26,40.9,,09:34:00,37.3,,10:04:00,39.0,,10:24:00,35.9,,10:29:00,35.9,,10:29:00,50.6,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,27,154.3,,09:34:00,162.9,,10:04:00,167.5,,10:24:00,206.0,,10:29:00,206.0,,10:29:00,358.4,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,28,115.4,,09:34:00,116.7,,10:04:00,195.9,,10:24:00,233.0,,10:29:00,233.0,,10:29:00,376.5,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,34,51.0,,09:34:00,55.2,,10:04:00,67.6,,10:24:00,73.1,,10:29:00,73.1,,10:29:00,80.0,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,35,63.5,,09:34:00,62.3,,10:04:00,83.7,,10:24:00,96.4,,10:29:00,96.4,,10:29:00,126.2,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,36,20.5,,09:34:00,21.4,,10:04:00,22.6,,10:24:00,20.9,,10:29:00,20.9,,10:29:00,24.6,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,37,104.2,,09:34:00,110.1,,10:04:00,120.7,,10:24:00,142.0,,10:29:00,142.0,,10:29:00,227.0,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,38,122.5,,09:34:00,127.1,,10:04:00,157.3,,10:24:00,183.2,,10:29:00,183.2,,10:29:00,274.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,44,283.0,,09:34:00,260.7,,10:04:00,178.4,,10:24:00,181.1,,10:29:00,181.1,,10:29:00,242.3,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,45,13.8,,09:34:00,13.8,,10:04:00,13.8,,10:24:00,14.9,,10:29:00,14.9,,10:29:00,15.3,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,46,2.9,,09:34:00,3.1,,10:04:00,2.9,,10:24:00,2.9,,10:29:00,2.9,,10:29:00,3.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,47,37.9,,09:34:00,35.7,,10:04:00,41.8,,10:24:00,46.8,,10:29:00,46.8,,10:29:00,63.0,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,48,60.6,,09:34:00,61.5,,10:04:00,60.8,,10:24:00,63.2,,10:29:00,63.2,,10:29:00,69.4,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,55,228.6,,09:34:00,252.3,,10:04:00,136.3,,10:24:00,152.4,,10:29:00,152.4,,10:29:00,275.4,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,56,5.0,,09:34:00,5.0,,10:04:00,4.8,,10:24:00,5.0,,10:29:00,5.0,,10:29:00,4.2,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,57,40.7,,09:34:00,38.7,,10:04:00,49.4,,10:24:00,56.3,,10:29:00,56.3,,10:29:00,82.4,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,58,69.1,,09:34:00,64.3,,10:04:00,73.7,,10:24:00,77.5,,10:29:00,77.5,,10:29:00,88.2,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,66,5.2,,09:34:00,5.0,,10:04:00,4.4,,10:24:00,3.9,,10:29:00,3.9,,10:29:00,2.5,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,67,15.2,,09:34:00,14.5,,10:04:00,12.4,,10:24:00,11.6,,10:29:00,11.6,,10:29:00,15.2,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,68,17.8,,09:34:00,16.9,,10:04:00,17.3,,10:24:00,17.2,,10:29:00,17.2,,10:29:00,19.7,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,77,516.8,,09:34:00,539.4,,10:04:00,607.9,,10:24:00,695.8,,10:29:00,695.8,,10:29:00,1068.1,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,78,38.4,,09:34:00,40.8,,10:04:00,61.9,,10:24:00,71.3,,10:29:00,71.3,,10:29:00,109.3,,10:34:00
202605010202,202602010502,2026-02-01,10:35:00,88,475.5,,09:34:00,474.0,,10:04:00,607.9,,10:24:00,685.9,,10:29:00,685.9,,10:29:00,1101.8,,10:34:00
202605010203,202602010503,2026-02-01,11:05:00,11,377.2,,10:00:00,442.1,,10:35:00,619.4,,10:54:00,613.3,,10:59:00,613.3,,10:59:00,764.4,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,12,26.2,,10:00:00,27.6,,10:35:00,32.3,,10:54:00,33.6,,10:59:00,33.6,,10:59:00,35.8,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,13,35.1,,10:00:00,35.2,,10:35:00,44.7,,10:54:00,44.8,,10:59:00,44.8,,10:59:00,56.2,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,14,59.8,,10:00:00,48.9,,10:35:00,50.9,,10:54:00,47.4,,10:59:00,47.4,,10:59:00,52.8,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,15,48.4,,10:00:00,45.2,,10:35:00,43.4,,10:54:00,42.5,,10:59:00,42.5,,10:59:00,26.9,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,16,30.1,,10:00:00,23.5,,10:35:00,21.7,,10:54:00,19.7,,10:59:00,19.7,,10:59:00,16.3,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,17,80.8,,10:00:00,94.9,,10:35:00,97.2,,10:54:00,97.6,,10:59:00,97.6,,10:59:00,110.2,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,18,91.5,,10:00:00,109.8,,10:35:00,144.7,,10:54:00,151.4,,10:59:00,151.4,,10:59:00,235.3,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,22,148.2,,10:00:00,146.1,,10:35:00,110.3,,10:54:00,119.3,,10:59:00,119.3,,10:59:00,119.8,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,23,17.8,,10:00:00,18.0,,10:35:00,20.8,,10:54:00,21.8,,10:59:00,21.8,,10:59:00,25.5,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,24,15.9,,10:00:00,16.0,,10:35:00,16.4,,10:54:00,17.6,,10:59:00,17.6,,10:59:00,19.4,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,25,11.9,,10:00:00,12.3,,10:35:00,11.5,,10:54:00,9.7,,10:59:00,9.7,,10:59:00,12.6,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,26,10.8,,10:00:00,11.0,,10:35:00,9.8,,10:54:00,8.8,,10:59:00,8.8,,10:59:00,9.2,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,27,43.5,,10:00:00,43.1,,10:35:00,45.7,,10:54:00,48.5,,10:59:00,48.5,,10:59:00,56.0,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,28,80.8,,10:00:00,88.9,,10:35:00,104.4,,10:54:00,115.9,,10:59:00,115.9,,10:59:00,162.9,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,33,141.4,,10:00:00,140.0,,10:35:00,114.6,,10:54:00,114.2,,10:59:00,114.2,,10:59:00,140.1,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,34,22.5,,10:00:00,21.3,,10:35:00,22.7,,10:54:00,22.8,,10:59:00,22.8,,10:59:00,25.6,,11:04:00
202605010203,202602010503,2026-02-01,11:05:00,35,14.1,,10:00:00,14.3,,10:35:00,16.2,,10:54:00,16.4,,10:59:00,16.4,,10:59:00,18.3,,11:04:00
