race_id,rt_key,date,post_datetime,umaban,odds_place_min_60m,odds_place_max_60m,hyosu_total_60m,happyo_datetime_60m,odds_place_min_30m,odds_place_max_30m,hyosu_total_30m,happyo_datetime_30m,odds_place_min_10m,odds_place_max_10m,hyosu_total_10m,happyo_datetime_10m,odds_place_min_5m,odds_place_max_5m,hyosu_total_5m,happyo_datetime_5m,odds_place_min_3m,odds_place_max_3m,hyosu_total_3m,happyo_datetime_3m,odds_place_min_1m,odds_place_max_1m,hyosu_total_1m,happyo_datetime_1m
202205010101,202201290501,2022-01-29,10:05:00,01,2.5,3.3,11843600,09:01:00,2.4,3.2,16896600,09:34:00,2.4,3.3,27170500,09:54:00,2.5,3.6,43589800,10:00:00,2.5,3.6,43589800,10:00:00,2.5,3.6,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,02,1.8,2.4,11843600,09:01:00,1.9,2.5,16896600,09:34:00,1.9,2.5,27170500,09:54:00,1.9,2.6,43589800,10:00:00,1.9,2.6,43589800,10:00:00,1.9,2.6,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,03,2.8,3.8,11843600,09:01:00,2.7,3.7,16896600,09:34:00,2.8,3.8,27170500,09:54:00,2.6,3.7,43589800,10:00:00,2.6,3.7,43589800,10:00:00,2.6,3.7,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,04,1.8,2.4,11843600,09:01:00,1.9,2.4,16896600,09:34:00,1.7,2.2,27170500,09:54:00,1.6,2.0,43589800,10:00:00,1.6,2.0,43589800,10:00:00,1.6,2.0,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,05,3.6,5.0,11843600,09:01:00,4.0,5.5,16896600,09:34:00,4.0,5.5,27170500,09:54:00,4.6,6.8,43589800,10:00:00,4.6,6.8,43589800,10:00:00,4.6,6.8,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,06,36.3,51.6,11843600,09:01:00,34.3,48.9,16896600,09:34:00,40.9,59.0,27170500,09:54:00,53.3,80.9,43589800,10:00:00,53.3,80.9,43589800,10:00:00,53.3,80.9,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,07,1.6,2.1,11843600,09:01:00,1.6,2.0,16896600,09:34:00,1.7,2.1,27170500,09:54:00,1.5,2.0,43589800,10:00:00,1.5,2.0,43589800,10:00:00,1.5,2.0,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,08,9.5,13.3,11843600,09:01:00,10.5,14.8,16896600,09:34:00,12.1,17.3,27170500,09:54:00,14.4,21.7,43589800,10:00:00,14.4,21.7,43589800,10:00:00,14.4,21.7,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,09,10.4,14.6,11843600,09:01:00,10.9,15.5,16896600,09:34:00,10.8,15.4,27170500,09:54:00,11.3,16.9,43589800,10:00:00,11.3,16.9,43589800,10:00:00,11.3,16.9,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,10,9.7,13.6,11843600,09:01:00,9.5,13.4,16896600,09:34:00,8.1,11.6,27170500,09:54:00,9.1,13.6,43589800,10:00:00,9.1,13.6,43589800,10:00:00,9.1,13.6,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,11,54.6,77.6,11843600,09:01:00,35.0,49.8,16896600,09:34:00,44.3,63.9,27170500,09:54:00,53.7,81.6,43589800,10:00:00,53.7,81.6,43589800,10:00:00,53.7,81.6,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,12,3.5,4.8,11843600,09:01:00,3.5,4.8,16896600,09:34:00,3.0,4.1,27170500,09:54:00,2.6,3.8,43589800,10:00:00,2.6,3.8,43589800,10:00:00,2.6,3.8,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,13,4.8,6.6,11843600,09:01:00,4.3,6.0,16896600,09:34:00,4.6,6.4,27170500,09:54:00,5.3,7.9,43589800,10:00:00,5.3,7.9,43589800,10:00:00,5.3,7.9,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,14,2.9,3.9,11843600,09:01:00,2.9,4.0,16896600,09:34:00,3.2,4.4,27170500,09:54:00,2.9,4.2,43589800,10:00:00,2.9,4.2,43589800,10:00:00,2.9,4.2,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,15,31.8,45.2,11843600,09:01:00,34.3,48.8,16896600,09:34:00,27.9,40.2,27170500,09:54:00,30.2,45.9,43589800,10:00:00,30.2,45.9,43589800,10:00:00,30.2,45.9,43589800,10:00:00
202205010101,202201290501,2022-01-29,10:05:00,16,3.1,4.2,11843600,09:01:00,3.2,4.3,16896600,09:34:00,3.1,4.3,27170500,09:54:00,3.1,4.5,43589800,10:00:00,3.1,4.5,43589800,10:00:00,3.1,4.5,43589800,10:00:00
202205010102,202201290502,2022-01-29,10:35:00,01,4.0,9.0,4780900,09:31:00,3.8,9.1,6782700,10:01:00,5.3,12.6,17077300,10:24:00,5.1,12.3,27588500,10:30:00,5.1,12.3,27588500,10:30:00,5.1,12.3,27588500,10:30:00
202205010102,202201290502,2022-01-29,10:35:00,02,3.0,6.5,4780900,09:31:00,3.0,7.0,6782700,10:01:00,2.3,5.1,17077300,10:24:00,2.3,5.1,27588500,10:30:00,2.3,5.1,27588500,10:30:00,2.3,5.1,27588500,10:30:00
