race_id,rt_key,date,post_datetime,kumiban,odds_wakuren_60m,hyosu_total_60m,happyo_datetime_60m,odds_wakuren_30m,hyosu_total_30m,happyo_datetime_30m,odds_wakuren_10m,hyosu_total_10m,happyo_datetime_10m,odds_wakuren_5m,hyosu_total_5m,happyo_datetime_5m,odds_wakuren_3m,hyosu_total_3m,happyo_datetime_3m,odds_wakuren_1m,hyosu_total_1m,happyo_datetime_1m
201701010102,201707290102,2017-07-29,10:20:00,12,130.0,,09:11:00,108.2,,09:41:00,136.1,,10:09:00,172.5,,10:14:00,172.5,,10:14:00,172.5,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,13,107.4,,09:11:00,126.0,,09:41:00,185.8,,10:09:00,234.9,,10:14:00,234.9,,10:14:00,234.9,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,14,117.6,,09:11:00,108.2,,09:41:00,142.3,,10:09:00,163.5,,10:14:00,163.5,,10:14:00,163.5,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,15,76.0,,09:11:00,88.8,,09:41:00,109.7,,10:09:00,122.6,,10:14:00,122.6,,10:14:00,122.6,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,16,102.9,,09:11:00,117.2,,09:41:00,161.2,,10:09:00,204.4,,10:14:00,204.4,,10:14:00,204.4,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,17,31.2,,09:11:00,36.8,,09:41:00,44.3,,10:09:00,48.1,,10:14:00,48.1,,10:14:00,48.1,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,18,73.7,,09:11:00,78.1,,09:41:00,99.3,,10:09:00,120.6,,10:14:00,120.6,,10:14:00,120.6,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,23,79.6,,09:11:00,94.8,,09:41:00,115.3,,10:09:00,135.4,,10:14:00,135.4,,10:14:00,135.4,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,24,48.9,,09:11:00,57.8,,09:41:00,63.7,,10:09:00,66.9,,10:14:00,66.9,,10:14:00,66.9,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,25,35.2,,09:11:00,38.2,,09:41:00,33.8,,10:09:00,32.1,,10:14:00,32.1,,10:14:00,32.1,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,26,69.5,,09:11:00,85.2,,09:41:00,104.6,,10:09:00,112.0,,10:14:00,112.0,,10:14:00,112.0,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,27,12.1,,09:11:00,13.8,,09:41:00,12.7,,10:09:00,12.6,,10:14:00,12.6,,10:14:00,12.6,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,28,28.7,,09:11:00,35.4,,09:41:00,35.3,,10:09:00,36.9,,10:14:00,36.9,,10:14:00,36.9,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,34,85.1,,09:11:00,101.7,,09:41:00,119.6,,10:09:00,133.0,,10:14:00,133.0,,10:14:00,133.0,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,35,67.6,,09:11:00,76.0,,09:41:00,84.9,,10:09:00,85.2,,10:14:00,85.2,,10:14:00,85.2,,10:14:00
201701010102,201707290102,2017-07-29,10:20:00,36,98.8,,09:11:00,101.7,,09:41:00,137.3,,10:09:00,157.7,,10:14:00,157.7,,10:14:00,157.7,,10:14:00
