race_id,rt_key,date,post_datetime,umaban,odds_place_min_60m,odds_place_max_60m,hyosu_total_60m,happyo_datetime_60m,odds_place_min_30m,odds_place_max_30m,hyosu_total_30m,happyo_datetime_30m,odds_place_min_10m,odds_place_max_10m,hyosu_total_10m,happyo_datetime_10m,odds_place_min_5m,odds_place_max_5m,hyosu_total_5m,happyo_datetime_5m,odds_place_min_3m,odds_place_max_3m,hyosu_total_3m,happyo_datetime_3m,odds_place_min_1m,odds_place_max_1m,hyosu_total_1m,happyo_datetime_1m
202305010101,202301280501,2023-01-28,10:05:00,01,19.8,38.0,7533900.0,09:01:00,22.3,49.3,14499800,09:34:00,25.8,57.1,25993500,09:54:00,28.3,72.7,41647900,09:59:00,28.3,72.7,41647900,09:59:00,43.2,114.3,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,02,10.5,20.0,7533900.0,09:01:00,12.6,27.6,14499800,09:34:00,16.0,35.3,25993500,09:54:00,18.2,46.5,41647900,09:59:00,18.2,46.5,41647900,09:59:00,20.1,52.8,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,03,1.3,2.2,7533900.0,09:01:00,1.4,2.6,14499800,09:34:00,1.5,2.7,25993500,09:54:00,1.3,2.6,41647900,09:59:00,1.3,2.6,41647900,09:59:00,1.3,2.5,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,04,9.4,17.8,7533900.0,09:01:00,9.0,19.5,14499800,09:34:00,9.4,20.5,25993500,09:54:00,9.9,25.0,41647900,09:59:00,9.9,25.0,41647900,09:59:00,11.6,30.2,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,05,19.5,37.3,7533900.0,09:01:00,19.3,42.8,14499800,09:34:00,18.6,41.0,25993500,09:54:00,20.5,52.4,41647900,09:59:00,20.5,52.4,41647900,09:59:00,15.4,40.3,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,06,14.8,28.3,7533900.0,09:01:00,13.9,30.6,14499800,09:34:00,12.6,27.6,25993500,09:54:00,13.9,35.4,41647900,09:59:00,13.9,35.4,41647900,09:59:00,19.6,51.6,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,07,2.9,5.1,7533900.0,09:01:00,2.9,5.9,14499800,09:34:00,3.1,6.4,25993500,09:54:00,3.2,7.5,41647900,09:59:00,3.2,7.5,41647900,09:59:00,3.5,8.7,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,08,3.2,5.8,7533900.0,09:01:00,3.2,6.5,14499800,09:34:00,3.1,6.3,25993500,09:54:00,3.1,7.2,41647900,09:59:00,3.1,7.2,41647900,09:59:00,3.5,8.7,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,09,7.6,14.3,7533900.0,09:01:00,7.4,16.0,14499800,09:34:00,7.5,16.2,25993500,09:54:00,7.9,19.8,41647900,09:59:00,7.9,19.8,41647900,09:59:00,8.1,21.0,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,10,1.4,2.2,7533900.0,09:01:00,1.4,2.5,14499800,09:34:00,1.4,2.6,25993500,09:54:00,1.4,3.0,41647900,09:59:00,1.4,3.0,41647900,09:59:00,1.4,2.9,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,11,2.4,4.2,7533900.0,09:01:00,2.4,4.8,14499800,09:34:00,2.1,4.1,25993500,09:54:00,2.1,4.7,41647900,09:59:00,2.1,4.7,41647900,09:59:00,1.9,4.2,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,12,7.4,14.0,7533900.0,09:01:00,5.1,10.9,14499800,09:34:00,6.3,13.5,25993500,09:54:00,6.9,17.1,41647900,09:59:00,6.9,17.1,41647900,09:59:00,8.3,21.4,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,13,17.6,33.7,7533900.0,09:01:00,17.9,39.6,14499800,09:34:00,16.9,37.2,25993500,09:54:00,18.7,47.8,41647900,09:59:00,18.7,47.8,41647900,09:59:00,20.3,53.5,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,14,1.1,1.3,7533900.0,09:01:00,1.1,1.1,14499800,09:34:00,1.1,1.1,25993500,09:54:00,1.1,1.1,41647900,09:59:00,1.1,1.1,41647900,09:59:00,1.1,1.1,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,15,3.3,5.9,7533900.0,09:01:00,3.4,7.1,14499800,09:34:00,3.3,6.7,25993500,09:54:00,3.0,7.1,41647900,09:59:00,3.0,7.1,41647900,09:59:00,2.7,6.5,87616500,10:04:00
202305010101,202301280501,2023-01-28,10:05:00,16,5.1,9.5,7533900.0,09:01:00,4.3,9.1,14499800,09:34:00,4.1,8.6,25993500,09:54:00,4.2,10.1,41647900,09:59:00,4.2,10.1,41647900,09:59:00,4.4,10.9,87616500,10:04:00
202305010102,202301280502,2023-01-28,10:35:00,01,3.7,4.7,2273300.0,09:30:00,3.3,4.3,3412900,10:01:00,4.8,7.7,12917200,10:24:00,5.1,8.0,17768400,10:29:00,5.1,8.0,17768400,10:29:00,5.7,9.0,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,02,9.5,12.3,2273300.0,09:30:00,9.9,13.0,3412900,10:01:00,11.9,19.5,12917200,10:24:00,12.2,19.5,17768400,10:29:00,12.2,19.5,17768400,10:29:00,12.4,20.1,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,03,13.9,18.1,2273300.0,09:30:00,12.9,17.0,3412900,10:01:00,18.8,30.9,12917200,10:24:00,15.3,24.5,17768400,10:29:00,15.3,24.5,17768400,10:29:00,20.1,32.8,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,04,2.2,2.7,2273300.0,09:30:00,2.1,2.7,3412900,10:01:00,1.4,2.0,12917200,10:24:00,1.5,2.2,17768400,10:29:00,1.5,2.2,17768400,10:29:00,1.7,2.4,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,05,12.4,16.1,2273300.0,09:30:00,12.4,16.3,3412900,10:01:00,20.8,34.2,12917200,10:24:00,19.8,31.8,17768400,10:29:00,19.8,31.8,17768400,10:29:00,20.7,33.8,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,06,2.1,2.5,2273300.0,09:30:00,2.0,2.4,3412900,10:01:00,1.3,1.7,12917200,10:24:00,1.4,1.9,17768400,10:29:00,1.4,1.9,17768400,10:29:00,1.7,2.4,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,07,3.5,4.4,2273300.0,09:30:00,3.7,4.8,3412900,10:01:00,5.7,9.1,12917200,10:24:00,5.9,9.3,17768400,10:29:00,5.9,9.3,17768400,10:29:00,6.7,10.7,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,08,2.3,2.9,2273300.0,09:30:00,2.5,3.2,3412900,10:01:00,3.0,4.7,12917200,10:24:00,2.8,4.2,17768400,10:29:00,2.8,4.2,17768400,10:29:00,2.5,3.8,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,09,2.8,3.6,2273300.0,09:30:00,2.9,3.7,3412900,10:01:00,2.5,3.8,12917200,10:24:00,2.2,3.3,17768400,10:29:00,2.2,3.3,17768400,10:29:00,1.8,2.7,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,10,5.5,7.1,2273300.0,09:30:00,5.7,7.4,3412900,10:01:00,5.6,9.0,12917200,10:24:00,4.4,6.8,17768400,10:29:00,4.4,6.8,17768400,10:29:00,3.8,6.0,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,11,13.8,18.0,2273300.0,09:30:00,14.3,18.9,3412900,10:01:00,18.4,30.3,12917200,10:24:00,17.4,28.0,17768400,10:29:00,17.4,28.0,17768400,10:29:00,24.6,40.1,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,12,9.6,12.4,2273300.0,09:30:00,10.1,13.3,3412900,10:01:00,17.7,29.1,12917200,10:24:00,17.6,28.4,17768400,10:29:00,17.6,28.4,17768400,10:29:00,27.3,44.7,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,13,2.0,2.4,2273300.0,09:30:00,1.9,2.3,3412900,10:01:00,1.3,1.9,12917200,10:24:00,1.3,1.7,17768400,10:29:00,1.3,1.7,17768400,10:29:00,1.2,1.5,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,14,2.5,3.2,2273300.0,09:30:00,2.3,2.9,3412900,10:01:00,2.5,3.8,12917200,10:24:00,2.9,4.4,17768400,10:29:00,2.9,4.4,17768400,10:29:00,3.6,5.6,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,15,7.8,10.1,2273300.0,09:30:00,7.4,9.7,3412900,10:01:00,8.6,14.0,12917200,10:24:00,8.0,12.6,17768400,10:29:00,8.0,12.6,17768400,10:29:00,8.3,13.5,43898700,10:34:00
202305010102,202301280502,2023-01-28,10:35:00,16,4.5,5.8,2273300.0,09:30:00,4.9,6.3,3412900,10:01:00,5.3,8.5,12917200,10:24:00,4.8,7.4,17768400,10:29:00,4.8,7.4,17768400,10:29:00,4.1,6.4,43898700,10:34:00
202305010103,202301280503,2023-01-28,11:05:00,01,3.6,6.6,3857500.0,09:56:00,3.8,6.7,6245200,10:33:00,2.4,4.0,15402000,10:54:00,2.7,4.8,23771300,10:59:00,2.7,4.8,23771300,10:59:00,2.8,4.9,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,02,7.9,14.9,3857500.0,09:56:00,8.3,15.4,6245200,10:33:00,8.9,16.1,15402000,10:54:00,8.9,17.1,23771300,10:59:00,8.9,17.1,23771300,10:59:00,8.3,15.9,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,03,3.1,5.5,3857500.0,09:56:00,3.2,5.6,6245200,10:33:00,1.9,3.2,15402000,10:54:00,1.8,3.1,23771300,10:59:00,1.8,3.1,23771300,10:59:00,1.8,3.1,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,04,15.3,29.2,3857500.0,09:56:00,20.2,37.8,6245200,10:33:00,26.3,48.3,15402000,10:54:00,27.7,53.8,23771300,10:59:00,27.7,53.8,23771300,10:59:00,44.1,85.8,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,05,15.3,29.2,3857500.0,09:56:00,20.0,37.5,6245200,10:33:00,23.0,42.2,15402000,10:54:00,23.3,45.4,23771300,10:59:00,23.3,45.4,23771300,10:59:00,34.6,67.2,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,06,2.5,4.4,3857500.0,09:56:00,3.1,5.5,6245200,10:33:00,3.9,6.8,15402000,10:54:00,4.0,7.3,23771300,10:59:00,4.0,7.3,23771300,10:59:00,3.9,7.2,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,07,4.6,8.6,3857500.0,09:56:00,5.1,9.3,6245200,10:33:00,5.1,9.1,15402000,10:54:00,4.5,8.4,23771300,10:59:00,4.5,8.4,23771300,10:59:00,4.3,8.0,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,08,7.7,14.5,3857500.0,09:56:00,8.4,15.6,6245200,10:33:00,9.3,16.9,15402000,10:54:00,10.6,20.5,23771300,10:59:00,10.6,20.5,23771300,10:59:00,16.4,31.7,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,09,1.1,1.3,3857500.0,09:56:00,1.1,1.4,6245200,10:33:00,1.2,1.4,15402000,10:54:00,1.1,1.3,23771300,10:59:00,1.1,1.3,23771300,10:59:00,1.1,1.3,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,10,1.4,2.0,3857500.0,09:56:00,1.3,1.9,6245200,10:33:00,1.4,1.9,15402000,10:54:00,1.4,2.1,23771300,10:59:00,1.4,2.1,23771300,10:59:00,1.4,2.2,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,11,4.5,8.3,3857500.0,09:56:00,4.7,8.5,6245200,10:33:00,3.4,5.9,15402000,10:54:00,3.6,6.6,23771300,10:59:00,3.6,6.6,23771300,10:59:00,3.8,6.9,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,12,8.0,15.1,3857500.0,09:56:00,9.5,17.7,6245200,10:33:00,10.7,19.4,15402000,10:54:00,12.1,23.3,23771300,10:59:00,12.1,23.3,23771300,10:59:00,17.1,33.2,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,13,4.3,8.0,3857500.0,09:56:00,5.2,9.6,6245200,10:33:00,5.5,9.7,15402000,10:54:00,5.6,10.5,23771300,10:59:00,5.6,10.5,23771300,10:59:00,6.5,12.3,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,14,1.8,3.1,3857500.0,09:56:00,1.4,2.3,6245200,10:33:00,1.9,3.2,15402000,10:54:00,1.8,3.1,23771300,10:59:00,1.8,3.1,23771300,10:59:00,1.6,2.6,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,15,10.8,20.5,3857500.0,09:56:00,12.6,23.6,6245200,10:33:00,15.7,28.7,15402000,10:54:00,16.5,32.1,23771300,10:59:00,16.5,32.1,23771300,10:59:00,22.0,42.6,53961600,11:04:00
202305010103,202301280503,2023-01-28,11:05:00,16,2.9,5.3,3857500.0,09:56:00,3.0,5.2,6245200,10:33:00,3.6,6.3,15402000,10:54:00,4.0,7.5,23771300,10:59:00,4.0,7.5,23771300,10:59:00,4.0,7.3,53961600,11:04:00
202305010104,202301280504,2023-01-28,11:35:00,01,3.4,5.0,4482800.0,10:30:00,3.8,6.0,7571500,11:03:00,4.3,6.6,22033900,11:24:00,4.5,7.1,32660700,11:29:00,4.5,7.1,32660700,11:29:00,3.7,6.0,76870000,11:34:00
202305010104,202301280504,2023-01-28,11:35:00,02,10.7,16.1,4482800.0,10:30:00,10.0,16.0,7571500,11:03:00,14.1,22.3,22033900,11:24:00,14.3,23.3,32660700,11:29:00,14.3,23.3,32660700,11:29:00,16.4,27.6,76870000,11:34:00
202305010104,202301280504,2023-01-28,11:35:00,03,8.4,12.6,4482800.0,10:30:00,8.6,13.8,7571500,11:03:00,9.4,14.8,22033900,11:24:00,10.5,17.0,32660700,11:29:00,10.5,17.0,32660700,11:29:00,13.0,21.8,76870000,11:34:00
202305010104,202301280504,2023-01-28,11:35:00,04,1.4,1.9,4482800.0,10:30:00,1.6,2.3,7571500,11:03:00,1.7,2.4,22033900,11:24:00,1.6,2.4,32660700,11:29:00,1.6,2.4,32660700,11:29:00,1.4,2.1,76870000,11:34:00
202305010104,202301280504,2023-01-28,11:35:00,05,2.0,2.7,4482800.0,10:30:00,1.9,2.8,7571500,11:03:00,1.9,2.7,22033900,11:24:00,1.7,2.5,32660700,11:29:00,1.7,2.5,32660700,11:29:00,1.7,2.6,76870000,11:34:00
