race_id,rt_key,date,post_datetime,umaban,odds_place_min_60m,odds_place_max_60m,hyosu_total_60m,happyo_datetime_60m,odds_place_min_30m,odds_place_max_30m,hyosu_total_30m,happyo_datetime_30m,odds_place_min_10m,odds_place_max_10m,hyosu_total_10m,happyo_datetime_10m,odds_place_min_5m,odds_place_max_5m,hyosu_total_5m,happyo_datetime_5m,odds_place_min_3m,odds_place_max_3m,hyosu_total_3m,happyo_datetime_3m,odds_place_min_1m,odds_place_max_1m,hyosu_total_1m,happyo_datetime_1m
202605010101,202601310501,2026-01-31,10:05:00,01,7.9,13.5,8378000,09:01:00,7.8,14.4,12773700,09:34:00,8.9,16.9,24295900,09:54:00,8.1,15.1,30324300,09:59:00,8.1,15.1,30324300,09:59:00,11.3,22.7,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,02,1.5,2.2,8378000,09:01:00,1.4,2.2,12773700,09:34:00,1.3,2.0,24295900,09:54:00,1.4,2.2,30324300,09:59:00,1.4,2.2,30324300,09:59:00,1.3,2.2,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,03,1.8,2.7,8378000,09:01:00,1.9,3.2,12773700,09:34:00,2.3,4.0,24295900,09:54:00,2.2,3.8,30324300,09:59:00,2.2,3.8,30324300,09:59:00,2.7,5.0,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,04,4.7,7.8,8378000,09:01:00,3.8,6.8,12773700,09:34:00,3.9,7.2,24295900,09:54:00,4.0,7.2,30324300,09:59:00,4.0,7.2,30324300,09:59:00,4.1,8.0,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,05,3.2,5.3,8378000,09:01:00,3.3,5.8,12773700,09:34:00,3.7,6.8,24295900,09:54:00,3.8,6.9,30324300,09:59:00,3.8,6.9,30324300,09:59:00,3.5,6.6,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,06,27.8,48.2,8378000,09:01:00,28.3,53.1,12773700,09:34:00,30.3,58.7,24295900,09:54:00,36.8,70.2,30324300,09:59:00,36.8,70.2,30324300,09:59:00,59.5,121.3,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,07,15.6,27.0,8378000,09:01:00,15.5,29.0,12773700,09:34:00,19.4,37.4,24295900,09:54:00,20.2,38.4,30324300,09:59:00,20.2,38.4,30324300,09:59:00,34.4,70.0,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,08,1.2,1.4,8378000,09:01:00,1.1,1.3,12773700,09:34:00,1.1,1.3,24295900,09:54:00,1.1,1.3,30324300,09:59:00,1.1,1.3,30324300,09:59:00,1.1,1.2,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,09,1.7,2.5,8378000,09:01:00,1.6,2.7,12773700,09:34:00,1.3,2.1,24295900,09:54:00,1.3,2.1,30324300,09:59:00,1.3,2.1,30324300,09:59:00,1.3,2.1,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,10,2.0,3.2,8378000,09:01:00,2.1,3.5,12773700,09:34:00,2.1,3.7,24295900,09:54:00,2.0,3.4,30324300,09:59:00,2.0,3.4,30324300,09:59:00,1.5,2.7,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,11,11.2,19.4,8378000,09:01:00,10.8,20.1,12773700,09:34:00,12.2,23.4,24295900,09:54:00,13.6,25.6,30324300,09:59:00,13.6,25.6,30324300,09:59:00,20.9,42.4,77180300,10:04:00
202605010101,202601310501,2026-01-31,10:05:00,12,11.8,20.4,8378000,09:01:00,10.6,19.6,12773700,09:34:00,13.6,26.1,24295900,09:54:00,11.3,21.3,30324300,09:59:00,11.3,21.3,30324300,09:59:00,16.4,33.1,77180300,10:04:00
